Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
"09 NCCR OFF vs. OKTU (11/04/23), Play 060",60,FIELD GOAL,10,3,9,31,0,11,DAFFY RT Y-IN S. ERASER,DAFFY,IN-Y,S. ERASER,PENCIL-PAPER,ERASER,P,I,11,21,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 061",61,FUMBLE,11,0,10,-27,0,21,FIB DOUBLE LT OFF H-BOMBER BEETLE STREET X-CRACK,DOUBLE,BOMBER-H,BEETLE STREET X-CRACK,BEETLE-SPIDER,,R,,11,0,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 062",62,FUMBLE,11,2,10,-27,-2,21,FIB DOUBLE LT OFF THURSDAY H-BOMBER TIGER,DOUBLE,BOMBER-H,TIGER,BENGAL-TIGER,,R,,11,0,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 063",63,FUMBLE,11,3,12,-25,51,11,DUAL RT CLASSY QK JACK SPACING X-STICK,DUAL,,QK JACK SPACING X-STICK,,SPACING STICK-X,P,C,11,3,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 064",64,FUMBLE,11,1,10,24,0,12,TRAIN RT BILLY JILL X-LIGHTRAIL,TRAIN,,JILL X-LIGHTRAIL,,LIGHTRAIL-X,P,I,11,,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 065",65,FUMBLE,11,2,10,24,11,12,YAHTZEE TROLLY RT Y-STICK SALLY,TROLLY,YAHTZEE,Y-STICK SALLY,,STICK-Y,P,C,11,18,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 066",66,FUMBLE,11,1,10,13,0,12,TRIPS LT LEECH STREET X-CRACK,TRIPS,,LEECH STREET X-CRACK,ROACH-LEECH,,P,DROP,11,86,N
"09 NCCR OFF vs. OKTU (11/04/23), Play 067",67,FUMBLE,11,2,10,13,5,12,FLANK RT Z-PLANE BEETLE SLICE,FLANK,PLANE-Z,BEETLE SLICE,BEETLE-SPIDER SLICE,,R,,11,0,Y
"09 NCCR OFF vs. OKTU (11/04/23), Play 068",68,FUMBLE,11,3,5,8,,12,(P) DEUCE RT Z-JET BEETLE Y-CULDESAC,DEUCE,JET-Z,BEETLE Y-CULDESAC,BEETLE-SPIDER,,R,,11,11,
"09 NCCR OFF vs. OKTU (11/04/23), Play 069",69,TOUCHDOWN,12,0,10,-30,11,11,DUAL RT JACK Y-PUNCH SNAP,DUAL,,JACK Y-PUNCH SNAP,,PUNCH-Y SNAP,P,C,11,3,Y
