Name,Play Number,QB Comment,Series,Down,Distance,Field Position,Gain,Personnel,The_Play,Formation,Motion,Play,Run Concept,Pass Concept,R/P,Pass Result,QB#,J#,EFF
"23 10 TNMS D @ NCCR 11-11-2023, Play 001",1,INTERCEPTION,1,0,10,-19,0,21,DEUCE RT SLOT BEETLE CUT Y-POP GOAT,DEUCE,,,BEETLE-SPIDER CUT,,P,I,11,19,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 002",2,INTERCEPTION,1,2,10,-19,1,12,YAC TRAIN LT BILLY S. TRUCK,TRAIN,AC-Y,,TRUCK,,R,,11,21,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 003",3,INTERCEPTION,1,3,9,-20,,11,YAHTZEE TROLLY RT JILL STAY Y-SLANT SLICK X-DIG,TROLLY,YAHTZEE,,,SLANT-Y SLICK DIG-X,P,INT,11,10,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 004",4,PUNT,2,0,10,-40,,12,FIB TRAIN RT BILLY Z-TOPGUN BEETLE H-POP X-STICK,TRAIN,TOPGUN-Z,,BEETLE-SPIDER,STICK-X,P,C,11,3,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 005",5,PUNT,2,1,20,-30,0,11,Z-TANGO RT A R-HOME BEETLE WALL,TANGO,,,BEETLE-SPIDER WALL,,R,,11,11,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 006",6,PUNT,2,2,20,-30,0,11,ZAC DUAL RT NASTY N. LA GRONK GOAT,DUAL,AC-Z,,,GRONK,P,I,11,18,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 007",7,PUNT,2,3,20,-30,-4,11,YAC DOLPHIN RT LOAD Z-BULLS,DOLPHIN,AC-Y,,,,P,C,11,19,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 008",8,PUNT,3,0,10,-20,5,11,DON RT Z-HOME IRON Z-COVER,DON,HOME-Z,,IRON-STEEL COVER BOSS,,R,,4,10,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 009",9,PUNT,3,2,5,-25,0,11,TROLLY LT Y-PLANE BEETLE SLIP X-CRACK,TROLLY,,,BEETLE-SPIDER SLIP,,R,,4,26,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 010",10,PUNT,3,3,5,-25,0,11,Y-SHIFT DUAL RT QK JACK SPACING SLAY,DUAL,SHIFT-Y,,,SPACING SLAY,P,I,4,83,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 011",11,FIELD GOAL,4,0,10,25,3,12,FIB FLANK LT Z-JET LEECH SLIP,FLANK,JET-Z,,ROACH-LEECH SLICE,,R,,4,4,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 012",12,FIELD GOAL,4,2,7,22,4,12,YAHOO TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHOO,,BEETLE-SPIDER,HITCH-X,R,,4,4,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 013",13,FIELD GOAL,4,3,3,18,-4,21,YAHOO FAR RT OX SQUEEZE BEETLE STREET COKE,FAR,YAHOO,,BEETLE-SPIDER,,R,,4,4,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 014",14,TOUCHDOWN,5,0,10,-21,4,21,FIB THIEF LT BILLY Z-TOPGUN LEECH CUT X-STICK,THIEF,TOPGUN-Z,,ROACH-LEECH CUT,STICK-X,P,C,11,3,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 015",15,TOUCHDOWN,5,2,6,-25,7,21,DEUCE RT SLOT ROACH GOAT,DEUCE,,,ROACH-LEECH,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 016",16,TOUCHDOWN,5,1,10,-32,4,11,Z-TANGO RT ROACH MAN CHOP,TANGO,,,ROACH-LEECH MAN,CHOP,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 017",17,TOUCHDOWN,5,2,6,-36,0,12,YAHOO FLANK RT CLASSY QK JACK SPACING STICK,FLANK,YAHOO,,,SPACING STICK,P,I,11,86,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 018",18,TOUCHDOWN,5,3,6,-36,15,12,ZAC DUAL RT CLASSY F-JACK H-PUNCH GIFT,DUAL,AC-Z,,,PUNCH-H GIFT,P,I,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 019",19,TOUCHDOWN,5,1,10,49,5,12,TRAIN LT BILLY SPIDER X-HITCH,TRAIN,,,BEETLE-SPIDER,HITCH-X,P,C,11,83,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 020",20,TOUCHDOWN,5,2,5,44,0,12,HOPPY DEUCE RT SLOT BEETLE CUT Y-POP GOAT,DEUCE,HOPPY,,BEETLE-SPIDER CUT,,P,I,11,81,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 021",21,TOUCHDOWN,5,3,5,44,40,12,H-TANGO RT SQUEEZE A R-HOME JACK STAY Y-MESH,TANGO,,,,MESH-Y,P,C,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 022",22,TOUCHDOWN,5,1,4,4,0,12,YAHOO TRAIN RT BILLY OX BEETLE STRAIGHT X-CRACK,TRAIN,YAHOO,,BEETLE-SPIDER,,P,DROP,11,84,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 023",23,TOUCHDOWN,5,2,4,4,1,13-F,DOT LT Z-PLANE LEECH Z-STREET CRACK,DOT,PLANE-Z,,ROACH-LEECH,,R,,11,26,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 024",24,TOUCHDOWN,5,3,3,3,3,12,ZAC DEUCE LT SLOT LEECH DRACO,DEUCE,AC-Z,,ROACH-LEECH,DRACO,R,,11,26,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 025",25,TOUCHDOWN,6,0,10,-39,10,12,(P) FIB TRAIN RT BILLY Z-DBL JET WOLF GARBAGE CRACK,TRAIN,DBL JET-Z,,WOLF-JAGUAR WALL,,P,C,11,10,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 026",26,TOUCHDOWN,6,1,10,-49,0,11,FIB DOUBLE LT OFF H-JET N. TEXAS Z-BREAKER,DOUBLE,JET-H,,,BREAKER-Z,P,DROP,11,88,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 027",27,TOUCHDOWN,6,2,10,-49,3,21,THIEF LT BILLY Z-TOPGUN LEECH CUT X-STICK,THIEF,TOPGUN-Z,,ROACH-LEECH CUT,STICK-X,P,C,11,88,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 028",28,TOUCHDOWN,6,3,7,48,7,11,YAHTZEE TROLLY LT Y-STICK N. SNEAK,TROLLY,YAHTZEE,,,STICK-Y,P,C,11,21,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 029",29,TOUCHDOWN,6,1,10,41,5,11,BUMP Z-TANGO RT ROACH MAN CHOP,TANGO,,,ROACH-LEECH MAN,CHOP,R,,11,88,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 030",30,TOUCHDOWN,6,2,5,36,9,12,FIB TAZER LT BILLY Z-JET S. TAXI,TAZER,JET-Z,,TAXI,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 031",31,TOUCHDOWN,6,1,10,27,4,12,YAC TRAIN RT BILLY BEETLE X-HITCH,TRAIN,AC-Y,,BEETLE-SPIDER,HITCH-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 032",32,TOUCHDOWN,6,2,6,23,23,12,HOPPY DEUCE LT SLOT SPIDER CUT Y-POP GOAT,DEUCE,HOPPY,,BEETLE-SPIDER CUT,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 033",33,INTERCEPTION,7,0,10,-37,15,11,YAC TRAIN RT LOAD PIN SPROLES,TRAIN,AC-Y,,,PIN SPROLES,P,I,11,11,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 034",34,INTERCEPTION,7,1,10,48,,11,TRAIN RT OFF JILL CHIP H-DRIVE SNAP,TRAIN,,,,DRIVE-H,P,INT,11,18,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 035",35,INTERCEPTION-TD,8,0,10,-22,23,12,TRIPS LT Z-TOPGUN SAME SPIDER X-STICK,TRIPS,TOPGUN-Z,,BEETLE-SPIDER,STICK-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 036",36,INTERCEPTION-TD,8,1,10,-45,9,12,YAC FIB TRAIN RT BILLY N. TRUCK,TRAIN,AC-Y,,TRUCK,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 037",37,INTERCEPTION-TD,8,2,1,46,-10,12,HAC FLANK RT F-JACK HERO PUMP DRACO,FLANK,AC-H,,,HERO PUMP DRACO,P,SACK,11,11,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 038",38,INTERCEPTION-TD,8,3,11,-44,17,11,YAHTZEE TROLLY LT JACK PIN BOOT,TROLLY,YAHTZEE,,,PIN BOOT,P,C,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 039",39,INTERCEPTION-TD,8,1,10,39,1,11,TRAIN RT BILLY BEETLE X-HITCH,TRAIN,,,BEETLE-SPIDER,HITCH-X,R,,11,26,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 040",40,INTERCEPTION-TD,8,2,9,38,,11,TRAIN RT OFF FLY ROCK MISSY,TRAIN,,,,,P,INT,11,18,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 041",41,TOUCHDOWN,9,0,10,50,9,12,DEUCE LT SQUEEZE Z-TOPGUN LEECH,DEUCE,TOPGUN-Z,,ROACH-LEECH,,R,,11,84,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 042",42,TOUCHDOWN,9,2,1,41,9,12,FIB TRIPS RT BEETLE,TRIPS,,,BEETLE-SPIDER,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 043",43,TOUCHDOWN,9,1,10,32,19,12,YAHOO TRAIN LT BILLY S. TRUCK,TRAIN,YAHOO,,TRUCK,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 044",44,TOUCHDOWN,9,1,10,13,10,12,FIB TAZER LT BILLY Z-JET S. TAXI RENO Y-SHALLOW,TAZER,JET-Z,,,SHALLOW-Y,P,C,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 045",45,TOUCHDOWN,9,1,3,3,1,12,DEUCE RT Z-JET ROACH SLICE,DEUCE,JET-Z,,ROACH-LEECH SLICE,,R,,11,38,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 046",46,TOUCHDOWN,9,2,2,2,2,12,DOT RT SLOT Z-PLANE LEECH Z-SLICE,DOT,PLANE-Z,,ROACH-LEECH SLICE,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 047",47,DOWNS,10,0,10,-9,12,13-X,YAHTZEE TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHTZEE,,BEETLE-SPIDER,HITCH-X,P,C,11,3,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 048",48,DOWNS,10,1,10,-21,6,13-X,YAHTZEE TRAIN LT BILLY SPIDER X-HITCH,TRAIN,YAHTZEE,,BEETLE-SPIDER,HITCH-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 049",49,DOWNS,10,2,4,-27,3,13-X,BUMP TRAIN LT BILLY SPIDER,TRAIN,,,BEETLE-SPIDER,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 050",50,DOWNS,10,3,1,-30,0,21,FIRE SNEAKER,TRIX,YAHOO,,SNEAKER,,R,,11,11,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 051",51,DOWNS,10,4,1,-30,0,12,HOPPY NINER SCUBA FRIDAY,DEUCE,HOPPY,,SCUBA,,R,,11,38,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 052",52,TOUCHDOWN,11,0,10,-25,6,13-X,YAHTZEE TRAIN RT BILLY WIDE BEETLE,TRAIN,YAHTZEE,,BEETLE-SPIDER,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 053",53,TOUCHDOWN,11,2,4,-31,4,13-X,DOT LT SLOT Z-PLANE ROACH SLICE,DOT,PLANE-Z,,ROACH-LEECH SLICE,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 054",54,TOUCHDOWN,11,1,10,-35,34,13-X,YAC TRAIN RT BILLY N. TRUCK,TRAIN,AC-Y,,TRUCK,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 055",55,TOUCHDOWN,11,1,10,31,31,13-X,DOT RT Z-PLANE ROACH SLICE,DOT,PLANE-Z,,ROACH-LEECH SLICE,,R,,11,26,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 056",56,TOUCHDOWN,12,0,10,-35,10,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,,BEETLE-SPIDER,STICK-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 057",57,TOUCHDOWN,12,1,10,-45,7,13-X,FLANK RT Z-PLANE BEETLE SLICE,FLANK,PLANE-Z,,BEETLE-SPIDER SLICE,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 058",58,TOUCHDOWN,12,2,3,48,45,13-X,DEUCE RT Z-PLANE BEETLE Y-CULDESAC,DEUCE,PLANE-Z,,BEETLE-SPIDER,,P,C,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 059",59,TOUCHDOWN,12,1,3,3,3,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,,BEETLE-SPIDER,STICK-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 060",60,PUNT,13,0,10,-25,4,13-X,YAHOO FIB TRAIN RT BILLY BEETLE,TRAIN,YAHOO,,BEETLE-SPIDER,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 061",61,PUNT,13,2,6,-29,5,13-X,DOT RT SLOT Z-PLANE LEECH Z-SLICE,DOT,PLANE-Z,,ROACH-LEECH SLICE,,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 062",62,PUNT,13,3,1,-34,-2,13-X,FLANK LT SQUEEZE X-JET LEECH H-STREET Z-CRACK,FLANK,JET-X,,ROACH-LEECH,,R,,11,11,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 063",63,INTERCEPTION,14,0,10,47,5,12,DOS LT F-JILL COAT X-DANGLE,DOS,,,,DANGLE-X,P,C,11,18,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 064",64,INTERCEPTION,14,2,5,42,-8,12,DOS LT F-JILL Z-DRIVE COAT,DOS,,,,DRIVE-Z COAT,P,SACK,11,11,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 065",65,INTERCEPTION,14,3,13,50,,12,YAHTZEE TROLLY RT JILL PIN BOOT,TROLLY,YAHTZEE,,,PIN BOOT,P,INT,11,86,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 066",66,MISSED FG,15,0,10,25,4,13-X,YAHOO TRIPS LT OX SQUEEZE SPIDER X-STICK,TRIPS,YAHOO,,BEETLE-SPIDER,STICK-X,R,,11,38,Y
"23 10 TNMS D @ NCCR 11-11-2023, Play 067",67,MISSED FG,15,2,6,21,2,13-X,TRAIN LT BILLY OX SPIDER,TRAIN,,,BEETLE-SPIDER,,R,,11,38,N
"23 10 TNMS D @ NCCR 11-11-2023, Play 068",68,MISSED FG,15,3,4,19,0,12,TRIPS LT CLASSY JACK STAY X-MESH,TRIPS,,,,MESH-X,P,I,11,3,N
